dataset_id	chemistry	reference	dataset_name	dataset_url	fastq_url	fastq_MD5sum	delete_fastq	feature_barcode_csv_url	multiplexing_library_csv_url	quant_tar_url
1	v3	human2020A	500 Human PBMCs, 3' LT v3.1, Chromium Controller	https://www.10xgenomics.com/resources/datasets/500-human-pbm-cs-3-lt-v-3-1-chromium-controller-3-1-low-6-1-0	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/500_PBMC_3p_LT_Chromium_Controller/500_PBMC_3p_LT_Chromium_Controller_fastqs.tar	5f080c6082f11ea9fc6448482e6fb590	1			https://umd.box.com/shared/static/tg919re5gd4klua39z3zemcg9ya422am.tar
2	v3	human2020A	500 Human PBMCs, 3' LT v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/500-human-pbm-cs-3-lt-v-3-1-chromium-x-3-1-low-6-1-0	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/500_PBMC_3p_LT_Chromium_X/500_PBMC_3p_LT_Chromium_X_fastqs.tar	5b36a7bfda36a7093adc8e30c3fa92c8	1			https://umd.box.com/shared/static/lrl68q2lz0ltsvs89iazbr302p50wnqj.tar
3	v3	human2020A	1k PBMCs from a Healthy Donor (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-pbm-cs-from-a-healthy-donor-v-3-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/pbmc_1k_v3/pbmc_1k_v3_fastqs.tar	265ebe8f77ad90db350984d9c7a59e52	1			https://umd.box.com/shared/static/wrn19wsmkem1jyc9seqpe4pxto5zimwa.tar
4	v3	mm10-2020A	10k PBMCs from a Healthy Donor (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/10-k-pbm-cs-from-a-healthy-donor-v-3-chemistry-3-standard-3-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/pbmc_10k_v3/pbmc_10k_v3_fastqs.tar	e0021592e209642d71f5dc420cf4c5c0	1			https://umd.box.com/shared/static/01j9574g1yd93noz2pqlqjfrdhx0m1ff.tar
5	v3	human2020A	10k Human PBMCs, 3' v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/10k-human-pbmcs-3-ht-v3-1-chromium-x-3-1-high	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/10k_PBMC_3p_nextgem_Chromium_X/10k_PBMC_3p_nextgem_Chromium_X_fastqs.tar	43ea77ed6f860597c568e9ff819f0504	1			https://umd.box.com/shared/static/jvvzacmo98vxfnoimg4dgi52lifhl2aa.tar
6	v3	human2020A	10k Human PBMCs, 3' v3.1, Chromium Controller	https://www.10xgenomics.com/resources/datasets/10k-human-pbmcs-3-v3-1-chromium-controller-3-1-high	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/10k_PBMC_3p_nextgem_Chromium_Controller/10k_PBMC_3p_nextgem_Chromium_Controller_fastqs.tar	05cccabbad1b94c83f67c67b15b07e7e	1			https://umd.box.com/shared/static/5dzu2tw8nz9tijt8lgmelll6sbaaomh4.tar
7	v3	human2020A	10k Peripheral blood mononuclear cells (PBMCs) from a healthy donor, Single Indexed	https://www.10xgenomics.com/resources/datasets/10-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-single-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_SI_PBMC_10K/SC3_v3_NextGem_SI_PBMC_10K_fastqs.tar	38d2d253f8537d3c39aaa5832da39ad3	1			https://umd.box.com/shared/static/iol9bxiv740xq6m29p2fzcoe8volsi7i.tar
8	v3	human2020A	10k Peripheral blood mononuclear cells (PBMCs) from a healthy donor, Dual Indexed	https://www.10xgenomics.com/resources/datasets/10-k-peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-dual-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_DI_PBMC_10K/SC3_v3_NextGem_DI_PBMC_10K_fastqs.tar	bd61d65af63508368c57f137090f32b9	1			https://umd.box.com/shared/static/5dzu2tw8nz9tijt8lgmelll6sbaaomh4.tar
9	v3	human2020A	20k Human PBMCs, 3' HT v3.1, Chromium X	https://www.10xgenomics.com/resources/datasets/20-k-human-pbm-cs-3-ht-v-3-1-chromium-x-3-1-high-6-1-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.1.0/20k_PBMC_3p_HT_nextgem_Chromium_X/20k_PBMC_3p_HT_nextgem_Chromium_X_fastqs.tar	650201ca6bd1af3f984a629da318d23b	1			https://umd.box.com/shared/static/c609sk8w6cbn4w0tcwofz4qcyjp67506.tar
10	v3	human2020A	PBMCs from EDTA-Treated Blood Collection Tubes Isolated via SepMate-Ficoll Gradient (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_edta_sepmate-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_EDTA_SepMate/3p_EDTA_SepMate_fastqs.tar	d07c96c9f224d75967759db6be54d635	1			https://umd.box.com/shared/static/imedrs558dx4tzxy9uhhxvy0dmjlhjsh.tar
11	v3	human2020A	PBMCs from Heparin-Treated Blood Collection Tubes Isolated via SepMate-Ficoll Gradient (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_heparin_sepmate-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_Heparin_SepMate/3p_Heparin_SepMate_fastqs.tar	4f9d8c6052713a373a6b05180dc7a1f3	1			https://umd.box.com/shared/static/e8gqxali0lwy2nashh5rmmoc6bgj92xm.tar
12	v3	human2020A	PBMCs from ACD-A Treated Blood Collection Tubes Isolated via SepMate-Ficoll Gradient (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_acda_sepmate-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_ACDA_SepMate/3p_ACDA_SepMate_fastqs.tar	c84db3199c36884044ea4f39e8ade802	1			https://umd.box.com/shared/static/w1kdz3vifqi4ixtqkuwqgc2mpkkiehky.tar
13	v3	human2020A	PBMCs from Citrate-Treated Blood Collection Tubes Isolated via SepMate-Ficoll Gradient (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_citrate_sepmate-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_Citrate_SepMate/3p_Citrate_SepMate_fastqs.tar	367649452979be8828314810952ef551	1			https://umd.box.com/shared/static/cs0s6e2u0j7d8uc36xsdo6922c7dle6y.tar
14	v3	human2020A	PBMCs from Citrate-Treated Cell Preparation Tubes (3' v3.1 Chemistry)	https://www.10xgenomics.com/resources/datasets/pbmcs-3p_citrate_cpt-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/3p_Citrate_CPT/3p_Citrate_CPT_fastqs.tar	196d59f2004579289728269016630544	1			https://umd.box.com/shared/static/2tqrzreghvi6nxe94oob1ei1vi4458br.tar
15	v3	human2020A	PBMCs from a Healthy Donor: Whole Transcriptome Analysis	https://www.10xgenomics.com/resources/datasets/pbm-cs-from-a-healthy-donor-whole-transcriptome-analysis-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/Parent_NGSC3_DI_PBMC/Parent_NGSC3_DI_PBMC_fastqs.tar	5e97b62f74cca767c3c6088b54fee607	1			https://umd.box.com/shared/static/dk0hmj5mpqjq56afkr5jibavy9e3yil8.tar
16	v3	human2020A	Whole Blood RBC Lysis for PBMCs and Neutrophils, Granulocytes, 3'	https://www.10xgenomics.com/resources/datasets/whole-blood-rbc-lysis-for-pbmcs-neutrophils-granulocytes-3-3-1-standard	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/WB_Lysis_Granulocytes_3p_Introns_8kCells/WB_Lysis_Granulocytes_3p_Introns_8kCells_fastqs.tar	e4f2823c531e3eb289161c979c75f051	1			https://umd.box.com/shared/static/0gnwx7d9hbdmptyi0ddz6mfa79d1l8be.tar
17	v3	human2020A	Peripheral blood mononuclear cells (PBMCs) from a healthy donor - Manual (channel 5)	https://www.10xgenomics.com/resources/datasets/peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-manual-channel-5-3-1-standard-3-1-0	https://cf.10xgenomics.com/samples/cell-exp/3.1.0/manual_5k_pbmc_NGSC3_ch5/manual_5k_pbmc_NGSC3_ch5_fastqs.tar	2f85c73fe9c3e8a2d76064640cbe7c89	1			https://umd.box.com/shared/static/tn884ctombnj214abt8rp77p7kih5i02.tar
18	v3	human2020A	Peripheral blood mononuclear cells (PBMCs) from a healthy donor - Manual (channel 1)	https://www.10xgenomics.com/resources/datasets/peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-manual-channel-1-3-1-standard-3-1-0	https://cf.10xgenomics.com/samples/cell-exp/3.1.0/manual_5k_pbmc_NGSC3_ch1/manual_5k_pbmc_NGSC3_ch1_fastqs.tar	ca2dd76a6a296180f23c0a782d02691f	1			https://umd.box.com/shared/static/0jcgdgy8woj30oarkwhybk8fly7gb7v8.tar
19	v3	human2020A	Peripheral blood mononuclear cells (PBMCs) from a healthy donor - Chromium Connect (channel 5)	https://www.10xgenomics.com/resources/datasets/peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-chromium-connect-channel-5-3-1-standard-3-1-0	https://cf.10xgenomics.com/samples/cell-exp/3.1.0/connect_5k_pbmc_NGSC3_ch5/connect_5k_pbmc_NGSC3_ch5_fastqs.tar	97cb61b31732ba2e6d1974b24bf531bb	1			https://umd.box.com/shared/static/kybks0ncf609xhcwvhv7z743zrmvlg94.tar
20	v3	human2020A	Peripheral blood mononuclear cells (PBMCs) from a healthy donor - Chromium Connect (channel 1)	https://www.10xgenomics.com/resources/datasets/peripheral-blood-mononuclear-cells-pbm-cs-from-a-healthy-donor-chromium-connect-channel-1-3-1-standard-3-1-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.1.0/connect_5k_pbmc_NGSC3_ch1/connect_5k_pbmc_NGSC3_ch1_fastqs.tar	8a3973b93a26d8d4a68bddcfc1101ff8	1			https://umd.box.com/shared/static/vtuexhbqiyvfob7qdpvsxl1nbqlo074f.tar
21	v3	human2020A	Hodgkin's Lymphoma, Dissociated Tumor: Whole Transcriptome Analysis	https://www.10xgenomics.com/resources/datasets/hodgkins-lymphoma-dissociated-tumor-whole-transcriptome-analysis-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/Parent_NGSC3_DI_HodgkinsLymphoma/Parent_NGSC3_DI_HodgkinsLymphoma_fastqs.tar	c083236af78d5556a88b3878baa40afe	1			https://umd.box.com/shared/static/qis4ovf34wvq12n2uabdiem6w355qry7.tar
22	v3	human2020A	200 Sorted Cells from Human Glioblastoma Multiforme, 3' LT v3.1	https://www.10xgenomics.com/resources/datasets/200-sorted-cells-from-human-glioblastoma-multiforme-3-lt-v-3-1-3-1-low-6-0-0	https://cf.10xgenomics.com/samples/cell-exp/6.0.0/Brain_Tumor_3p_LT/Brain_Tumor_3p_LT_fastqs.tar	c1d5f7a04b3615a5bc6cb3d3ed2e0f0a	1			https://umd.box.com/shared/static/2xf9xf8m1n5vbvmpo1vshwigs7f7o5jd.tar
23	v3	human2020A	750 Sorted Cells from Human Invasive Ductal Carcinoma, 3' LT v3.1	https://www.10xgenomics.com/resources/datasets/750-sorted-cells-from-human-invasive-ductal-carcinoma-3-lt-v-3-1-3-1-low-6-0-0	https://cf.10xgenomics.com/samples/cell-exp/6.0.0/Breast_Cancer_3p_LT/Breast_Cancer_3p_LT_fastqs.tar	b105c24862021e822982f8a1136888e2	1			https://umd.box.com/shared/static/3txnreehxoj2plyypfs6fkibnnbo72h4.tar
24	v3	human2020A	2k Sorted Cells from Human Glioblastoma Multiforme, 3' v3.1	https://www.10xgenomics.com/resources/datasets/2-k-sorted-cells-from-human-glioblastoma-multiforme-3-v-3-1-3-1-standard-6-0-0	https://cf.10xgenomics.com/samples/cell-exp/6.0.0/Brain_Tumor_3p/Brain_Tumor_3p_fastqs.tar	6bf6e6ff6b8b96c1967ef737adb5e807	1			https://umd.box.com/shared/static/n0vpgbdwbnnqdw1h9of2ykk7ive9p6pt.tar
25	v3	human2020A	7.5k Sorted Cells from Human Invasive Ductal Carcinoma, 3' v3.1	https://www.10xgenomics.com/resources/datasets/7-5-k-sorted-cells-from-human-invasive-ductal-carcinoma-3-v-3-1-3-1-standard-6-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/6.0.0/Breast_Cancer_3p/Breast_Cancer_3p_fastqs.tar	70a14452298a4ebf9fef72c03bafb764	1			https://umd.box.com/shared/static/aly78r6bppqf01npbqfopc3epmp17weu.tar
26	v3	human2020A	Human Glioblastoma Multiforme: 3'v3 Whole Transcriptome Analysis	https://www.10xgenomics.com/resources/datasets/human-glioblastoma-multiforme-3-v-3-whole-transcriptome-analysis-3-standard-4-0-0	https://cf.10xgenomics.com/samples/cell-exp/4.0.0/Parent_SC3v3_Human_Glioblastoma/Parent_SC3v3_Human_Glioblastoma_fastqs.tar	b32e92d47da181c99de5c95107d32acb	1			https://umd.box.com/shared/static/suf8pt3avv4rchxfw0bqrshslzieygef.tar
27	v3	mm10-2020A	1k Brain Cells from an E18 Mouse (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-brain-cells-from-an-e-18-mouse-v-3-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/neuron_1k_v3/neuron_1k_v3_fastqs.tar	b74fd4a8fb33fe4bf7d273228373c88f	1			https://umd.box.com/shared/static/4w5eiq3qafbru5ocler39j5j28bvgz98.tar
28	v3	mm10-2020A	10k Brain Cells from an E18 Mouse (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/10-k-brain-cells-from-an-e-18-mouse-v-3-chemistry-3-standard-3-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/neuron_10k_v3/neuron_10k_v3_fastqs.tar	e7b477926c1aa6327bb6da1991b8729d	1			https://umd.box.com/shared/static/tym9m73frtp13vo15jhit9uwuk3mtfdq.tar
29	v3	mm10-2020A	1k Heart Cells from an E18 mouse (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-heart-cells-from-an-e-18-mouse-v-3-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/heart_1k_v3/heart_1k_v3_fastqs.tar	bad9dd23555d5e228f1875351927e59c	1			https://umd.box.com/shared/static/d838oy3udjvtzjo7tsdiao7u6sazabeg.tar
30	v3	mm10-2020A	10k Heart Cells from an E18 mouse (v3 chemistry)	https://www.10xgenomics.com/resources/datasets/10-k-heart-cells-from-an-e-18-mouse-v-3-chemistry-3-standard-3-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/3.0.0/heart_10k_v3/heart_10k_v3_fastqs.tar	158a95a25ea063b6fa04ecf85fad8ba8	1			https://umd.box.com/shared/static/efinlf6p8weich13kv3bzrlndsx963v4.tar
31	v3	mm10-2020A	10k Mouse E18 Combined Cortex, Hippocampus and Subventricular Zone Cells, Single Indexed	https://www.10xgenomics.com/resources/datasets/10-k-mouse-e-18-combined-cortex-hippocampus-and-subventricular-zone-cells-single-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_SI_Neuron_10K/SC3_v3_NextGem_SI_Neuron_10K_fastqs.tar	be561d5e1cede800fb8cbc18df3ef865	1			https://umd.box.com/shared/static/mr0yolo83rjdcdqgu6om4q133fpime8r.tar
32	v3	mm10-2020A	10k Mouse E18 Combined Cortex, Hippocampus and Subventricular Zone Cells, Dual Indexed	https://www.10xgenomics.com/resources/datasets/10-k-mouse-e-18-combined-cortex-hippocampus-and-subventricular-zone-cells-dual-indexed-3-1-standard-4-0-0	https://s3-us-west-2.amazonaws.com/10x.files/samples/cell-exp/4.0.0/SC3_v3_NextGem_DI_Neuron_10K/SC3_v3_NextGem_DI_Neuron_10K_fastqs.tar	f9b3896ee55dbcc50e5e1fbc039cdb88	1			https://umd.box.com/shared/static/mr7raea3v5ccn4dchemwhcimpz7t1cwl.tar
33	v2	human2020A	V2 1k PBMCs from a Healthy Donor (v2 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-pbm-cs-from-a-healthy-donor-v-2-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/pbmc_1k_v2/pbmc_1k_v2_fastqs.tar	8dc07a65163a9c1bdfa3c0f1fc7ec653	1			https://umd.box.com/shared/static/xeya5zr0t0wg0t8c20zu0pdhclxywx3c.tar
34	v2	mm10-2020A	V2 1k Brain Cells from an E18 Mouse (v2 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-brain-cells-from-an-e-18-mouse-v-2-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/neuron_1k_v2/neuron_1k_v2_fastqs.tar	faae0693e1ccb9806c27f64724be8479	1			https://umd.box.com/shared/static/a53twm69uo2xf6778asuvw2aft7wkur5.tar
35	v2	mm10-2020A	V2 1k Heart Cells from an E18 mouse (v2 chemistry)	https://www.10xgenomics.com/resources/datasets/1-k-heart-cells-from-an-e-18-mouse-v-2-chemistry-3-standard-3-0-0	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/heart_1k_v2/heart_1k_v2_fastqs.tar	943b38dbe4c820e5803085ecb7e4752a	1			https://umd.box.com/shared/static/p4ieuzimfgrjfsr9rzhrn48kved4ha7m.tar